Reference Designator,Description,Manufacturer,Manufacturer Part Number,Suppliers,Package,Quantity,Symbol Type,Capacitance,Voltage,Tolerance,Is Generic,Dielectric,Mouser Part Number,Digikey Description,Verified Pad Assignment,Temperature Range Low,Verified Attributes,Digikey Part Number,Verified Geometry,Ipc Land Pattern Name,Verified Pin Names,Temperature Range High,Centroid Not Specified,Imported From,Color,Category A1D76Cdd91F27A10,Category 848D4987B4D35F4A,Category Ab56665C9B747091,Category 0Dd3C0D93D8Cd614,Resistance,Mounting Type,Is Female,Is Connector,Is Male,Conn 7 Type,Conn 3 Type,Number Of Rows,Contact Finish Thickness,Conn 5 Type,Circuits,Contact Finish,Conn 6 Type,Conn 0 Type,Conn 4 Type,Conn 1 Type,Pitch,Conn 2 Type,Row Spacing,Resistor,Inductance,Nobom,Mechanical Details,Supplier 2,Supplier 3,Microchipcom Home,Supplier Part Number 1,Supplier 4,Supplier Part Number 3,Packagedescription,Category 0542C84834E1De85,Access Time,Librarypath,Footprint 1 Description,Supplier 1,Indexinsheet,Supplier Part Number 2,Category 42E28Fe8734E9925,Code Ipc,Supplier Part Number 4,Category 9E07530Daf1645C0,Lifecycle Status,Designitemid,Packaging Specification,Mounting Style,Frequency,Category Bc47714D8De96780,Footprint 0 Description,Supply Voltage Dc,Max Supply Voltage Dc,Footprint 2 Description,Clock Speed,Category 20B3Edb914A9Fb74,Conn 16 Type,Conn 10 Type,Conn 19 Type,Conn 12 Type,Conn 8 Type,Conn 15 Type,Conn 11 Type,Conn 17 Type,Conn 9 Type,Conn 14 Type,Conn 20 Type,Conn 13 Type,Conn 18 Type,Dacs Per Package,Packing,Package Type,Interface,Packages,Vref,Dnl (Lsb),Resolution (Bits),Typical Operating Current (Μa),Temp Range,Typical Standby Current (Μa),Volume Pricing,Leads,Output Settling Time (Μs),Min Supply Voltage Dc,Quiescent Current,Polarity,Category E7B12Abbd6523C76,Category 3B27F62D0A3Ae0E0,Rds Drain To Source Resistance On,Category D77D1A77E69F0Cba,Breakdown Voltage Drain To Source,Category 6F04A20E5Eeab4C3,Category 08B8C5B23945D37F,Reach Svhc Compliance,Category 505D9D57619A8B9A,Category 181Ad51029E0C3Dd,Bandwidth,Slew Rate,Supply Current,Packagetopmarking,Powerwise,Partnumber,Pincount,Mtc28 Package Page,Adc10065 Web Page,Code Jedec,Adc10065 Datasheet,Comptype,Conn 22 Type,Conn 41 Type,Conn 34 Type,Conn 23 Type,Conn 26 Type,Conn 38 Type,Conn 25 Type,Conn 28 Type,Conn 21 Type,Conn 37 Type,Conn 40 Type,Conn 31 Type,Conn 27 Type,Conn 39 Type,Conn 42 Type,Conn 30 Type,Conn 35 Type,Conn 29 Type,Conn 33 Type,Conn 43 Type,Conn 36 Type,Conn 32 Type,Conn 24 Type
J22 J23,"2.54mm Pitch C-Grid® Breakaway Header, Dual Row, Vertical, High Temperature, 8 Circuits, 0.38µm Gold (Au) Selective Plating, Tin (Sn) PC Tail Plating, 2.72mm PC Tail",Molex,10-89-7082,,HDR10,2,,,,,,,538-10-89-7082,"8 Positions Header, Unshrouded, Breakaway Connector 0.100"" (2.54mm) Through Hole Gold",false,-40°C,false,WM50012-08-ND,false,,false,+105°C,No,,,,,,,,,,yes,yes,passive,passive,2,0.38µm,passive,8,Gold,passive,passive,passive,passive,2.54mm,passive,2.54mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J5,40-Pin GPIO Through Holes for Raspberry Pi,N/A,40-Pin Raspberry Pi B+ GPIO Through Holes,,40-Pin 2.54mm Pitch Through Holes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,Chip Ferrite Bead,MURATA,BLM21PG121SN1D,,0805 (2012 metric),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2 L3 L4 L5 L6,Generic Inductor (1e-07H),Generic,Inductor (1e-07H),,0805 (2012 metric),5,Inductor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75R @100MHz,1e-07H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M187 M188 M189 M190 M235,Mounting Hole M3,generic,Mounting Hole M3,,,5,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1 R15 R16 R2 R25 R27 R28 R29 R3 R33 R34 R35 R4 R68 R69 R70 R45 R48,Generic Resistor (10000),Generic,Resistor (10000),,0603 (1608 metric),18,Resistor,,,1%,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R12,Generic Resistor (100000),Generic,Resistor (100000),,1206 (3216 metric),1,Resistor,,,1%,,,,,,,,,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R13,Generic Resistor (280),Generic,Resistor (280),,0603 (1608 metric),1,Resistor,,,1%,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R17,Generic Resistor (11000),Generic,Resistor (11000),,0603 (1608 metric),1,Resistor,,,1%,,,,,,,,,,,,,,,,,,,,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R18 R19,Generic Resistor (100),Generic,Resistor (100),,0603 (1608 metric),2,Resistor,,,1%,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R21 R22 R56,Generic Resistor (18R),Generic,Resistor (18R),,0603 (1608 metric),3,Resistor,,,1%,,,,,,,,,,,,,,,,,,,,18R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R24 R26 R30 R31 R74,Generic Resistor (649R),Generic,Resistor (649R),,0603 (1608 metric),5,Resistor,,,1%,,,,,,,,,,,,,,,,,,,,649R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R32 R57,Generic Resistor (2K2),Generic,Resistor (2K2),,0603 (1608 metric),2,Resistor,,,1%,,,,,,,,,,,,,,,,,,,,2K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R44,Generic Resistor (DNP),Generic,Resistor (DNP),,0603 (1608 metric),0,Resistor,,,1%,,,,,,,,,,,,,,,,,,,,DNP,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R46,Generic Resistor (1800),Generic,Resistor (1800),,0603 (1608 metric),0,Resistor,,,1%,,,,,,,,,,,,,,,,,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R47,Generic Resistor (10000),Generic,Resistor (10000),,0603 (1608 metric),0,Resistor,,,1%,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R50 R51 R75,Generic Resistor (1000000),Generic,Resistor (1000000),,0603 (1608 metric),3,Resistor,,,1%,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R52,Generic Resistor (357000),Generic,Resistor (357000),,0603 (1608 metric),1,Resistor,,,1%,,,,,,,,,,,,,,,,,,,,357000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R53,Generic Resistor (210000),Generic,Resistor (210000),,0603 (1608 metric),1,Resistor,,,1%,,,,,,,,,,,,,,,,,,,,210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R54 R55,Generic Resistor (100R),Generic,Resistor (100R),,1206 (3216 metric),2,Resistor,,,1%,,,,,,,,,,,,,,,,,,,,100R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6,Generic Resistor (12000),Generic,Resistor (12000),,0603 (1608 metric),1,Resistor,,,1%,,,,,,,,,,,,,,,,,,,,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R7,Generic Resistor (2200),Generic,Resistor (2200),,0603 (1608 metric),1,Resistor,,,1%,,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R72 R73,Generic Resistor (0),Generic,Resistor (0),,0603 (1608 metric),0,Resistor,,,1%,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW100 SW221 SW94 SW97,Tactile Switches SPST OFF-(ON) 3VA BLK FLAT BUTTON SMT,NKK,HP0315AFKP2-R,,SW_6MM2_6MM2_SMT_4,4,,,,,,,633-HP0315AFKP2-R,SWITCH TACTILE SPST-NO 3VA 28V,true,-20°C,true,360-2595-1-ND,true,,true,+70°C,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U1,"ultra-low power, non-volatile FPGA",Lattice,iCE40HX4K-TQ144,,TQFP144,1,,,,,,,842-ICE40HX4K-TQ144,IC FPGA 107 I/O 144TQFP,true,-40°C,true,220-1572-ND,true,QFP50P2200X2200X160-144,true,+100°C,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.latticesemi.com/~/media/LatticeSemi/Documents/PinPackage/PackageDiagrams.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U112 U206 U207 U208,Triple non-inverting Schmitt trigger with 5 V tolerant input,NEXPERIA,74LVC3G17DP,,TSSOP8,4,,,,,,,,,,,,,,SOP65P400X105-8,,,,,,,,,,,,,,,passive,passive,,,passive,,,passive,passive,passive,passive,,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U13,Dual High Speed USB to Multipurpose UART/FIFO IC,Future Technology Devices International Ltd.,FT2232HL-REEL,,LQFP64,1,,,3.6V,,,,895-FT2232HL,IC USB HS DUAL UART/FIFO 64-LQFP,true,-40°C,true,768-1024-1-ND,true,QFP50P1200X1200X160-64,true,+85°C,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U157,"2K, 128x16-bit, 2.5V Microwire Serial EEPROM, 6-Pin SOT-23, Industrial Temperature, Tape and Reel",Microchip,93LC56BT-I/OT,Digi-Key 93LC56BT-I/OTCT-ND/Digi-Key 93LC56BT-I/OTDKR-ND/Digi-Key 93LC56BT-I/OTTR-ND/Newark 28X4163/Newark 30H4760,SOT-23,0,,,,,,,,,,,,,,,,,,Altium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digi-Key,Digi-Key,http://www.microchip.com/,93LC56BT-I/OTTR-ND,Farnell,93LC56BT-I/OTDKR-ND,6-Lead Plastic Small Outline Transistor (OT) [SOT-23],Memory,2e-06s,*,"SOT23, 6-Leads, Body 2.9x1.6mm, Pitch 0.95mm, Lead Span 2.7mm, IPC High Density",Digi-Key,-1,93LC56BT-I/OTCT-ND,Uncategorized,SOT26A-6,1556165,Semiconductors and Actives,Active,MEM/SEEPROM/93AA46B-OT-6,http://www.microchip.com/stellent/groups/techpub_sg/documents/packagingspec/en012702.pdf,surface mount,2000000.0Hz,EEPROMs,"SOT23, 6-Leads, Body 2.9x1.6mm, Pitch 0.95mm, Lead Span 2.7mm, IPC Medium Density",5.0V,5.5V,"SOT23, 6-Leads, Body 2.9x1.6mm, Pitch 0.95mm, Lead Span 2.7mm, IPC Low Density",3000000.0Hz,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U169,"Dual 750mA/250mA Low Dropout, Low Noise, Micropower Linear Regulator",LINEAR TECHNOLOGY,LT3030,,TSSOP20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passive,passive,,,passive,,,passive,passive,passive,passive,,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U179,10-Bit Voltage Output Digital-to-Analog Converter with Internal VREF and SPI Interface,Microchip,MCP4811-E/MS,,MSOP8,1,,,,,,,,,,,,,,SOIC65P490X110-8,,,,PartsBot,,,,,,,,,,,passive,passive,,,passive,,,passive,passive,passive,passive,,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,TUBE,MSOP,SPI,8/SOIC 150mil,Int,0.5,10,,-40C to +125C,,$1.17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U182,3V 8M-BIT SERIAL FLASH MEMORY WITH  DUAL/QUAD SPI,WINBOND,W25Q80JVSNIQ,,SO8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
