1743;1716;1444;1484;1416;1362;681;640;177;122;0;13;13;13;0;13;13;0;13;13;0;13;0;13;13;13;108;95;13;13;40;27;13;0;40;54;27;13;136;149;136;0;13;27;40;54;13;0;13;0;13;13;0;0;27;13;27;27;0;0;0;68;13;13;95;108;13;0;54;13;108;95;95;95;40;108;54;81;190;204;299;258;204;177;163;177;177;108;190;204;272;299;204;163;95;149;190;190;272;258;149;190;258;258;108;136;217;190;190;190;177;204;163;231;163;177;286;272;286;258;217;190;163;231;177;190;177;217;204;272;245;190;122;122;108;108;190;217;231;245;81;136;13;27;95;54;95;68;163;190;217;231;40;95;190;163;190;163;122;136;204;245;95;81;217;204;149;177;231;245;122;177;81;81;81;204;245;190;68;54;136;177;217;136;108;68;177;177;27;122;108;149;149;81;177;136;204;149;122;163;68;95;149;163;204;204;299;313;68;95;190;122;163;136;177;177;231;231;95;108;13;13;217;217;68;149;286;258;13;13;272;204;367;286;245;326;258;326;326;204;408;463;190;149;163;204;13;13;27;13;190;258;163;190;231;
27;13;54;0;286;272;163;163;27;13;0;13;0;0;13;0;0;13;0;0;13;13;0;13;13;13;13;0;13;13;27;0;13;13;68;81;68;68;149;136;95;0;490;326;122;40;13;13;27;40;54;40;95;68;95;136;13;27;13;0;40;54;13;27;108;163;68;122;108;122;13;0;177;122;163;190;122;177;40;163;81;108;163;163;272;245;245;177;68;108;149;136;190;190;231;272;245;177;190;190;149;149;217;217;136;190;286;286;177;136;231;231;217;190;190;163;190;231;190;163;177;217;177;190;272;177;122;108;122;95;136;149;149;190;217;204;149;149;177;177;13;40;0;40;68;68;68;81;204;190;163;136;149;122;177;258;68;68;27;108;217;217;245;149;136;122;136;108;108;122;136;217;149;136;13;108;217;81;13;0;136;163;190;258;81;81;177;163;68;54;204;177;81;136;122;95;122;136;136;190;217;190;163;122;149;136;190;231;27;108;231;245;81;95;163;95;163;95;108;108;13;27;149;149;177;217;313;190;177;81;204;217;354;245;163;272;95;258;381;258;340;381;68;68;81;163;0;54;108;149;136;190;136;40;163;
2125;2111;1811;1852;2384;2261;1389;1335;626;531;122;122;108;108;108;122;108;122;108;108;108;108;108;108;108;108;108;108;299;245;68;68;108;108;40;27;40;27;749;749;1907;2138;912;1076;572;463;68;54;108;122;95;95;108;95;204;313;722;844;762;749;708;653;803;817;899;858;735;803;626;626;613;517;980;1008;912;844;708;803;395;449;449;354;422;408;572;490;217;367;40;54;177;40;163;136;381;395;108;177;40;54;149;81;367;245;122;245;40;13;13;13;149;108;326;299;122;217;0;27;122;54;190;136;299;367;68;108;81;54;27;13;286;149;136;231;54;108;13;0;149;81;245;217;13;13;272;95;27;13;149;122;272;231;81;122;13;81;81;68;177;136;354;422;136;95;68;0;108;0;286;231;122;217;13;54;95;122;163;108;190;177;177;177;108;81;122;95;217;190;177;217;136;122;40;27;231;177;272;231;204;258;108;149;122;81;367;340;449;463;163;258;177;231;204;163;231;190;231;217;190;258;40;95;258;258;163;190;245;190;136;108;149;177;231;204;408;435;68;68;326;258;272;245;149;122;286;286;136;163;13;0;177;136;204;163;231;
667;640;408;449;354;340;149;136;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;40;13;13;13;13;13;54;68;54;0;27;54;54;95;204;258;354;299;0;0;13;0;0;27;0;0;13;27;54;27;13;13;13;13;177;149;40;68;27;81;40;0;54;81;217;204;204;204;108;163;245;217;177;163;299;231;272;272;122;190;149;177;177;136;286;258;245;313;204;231;177;177;177;81;299;299;258;299;190;177;122;163;204;136;245;204;217;258;204;190;108;149;272;217;245;231;163;231;422;490;558;667;326;272;299;272;217;231;190;190;681;803;3106;2697;3337;3351;1171;1049;463;504;286;190;299;286;313;326;204;190;163;245;204;149;340;286;149;190;81;136;95;149;286;245;272;231;313;258;163;149;95;95;245;204;163;204;136;136;136;177;81;13;190;177;136;190;95;163;81;108;177;81;245;190;136;177;81;108;81;136;258;217;190;149;149;122;149;108;108;108;122;122;204;190;95;108;136;81;95;27;108;163;204;231;177;217;95;122;95;27;204;177;258;272;149;190;0;68;231;149;217;177;163;149;136;122;27;108;163;
2002;1961;1580;1607;1811;1702;899;844;258;177;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;27;13;13;13;13;13;13;13;40;54;0;27;13;108;326;395;95;136;0;0;13;13;13;0;13;27;40;40;95;81;0;13;13;13;13;13;0;40;54;27;136;108;217;258;108;68;95;81;108;163;190;122;81;149;163;163;190;163;190;217;286;217;122;136;108;136;122;108;163;217;245;231;190;149;190;231;204;217;163;217;231;299;204;204;149;163;204;149;245;163;163;217;231;231;163;177;231;258;313;231;190;204;204;190;149;95;177;204;286;272;204;217;81;122;108;68;68;0;204;245;217;177;136;108;177;149;217;163;190;258;204;217;149;136;217;190;313;245;231;190;163;204;177;177;177;204;258;245;136;149;177;177;190;190;177;204;217;245;163;149;190;163;217;190;177;177;177;231;163;149;149;177;177;177;231;204;190;190;190;177;108;95;177;163;177;136;163;136;136;149;122;136;163;177;204;245;149;149;149;136;245;177;231;204;163;217;190;217;108;149;204;190;258;231;245;231;177;217;231;258;231;217;258;217;204;177;95;
708;722;517;572;926;899;558;531;245;190;13;13;13;13;13;13;0;27;13;13;27;13;13;27;13;13;13;13;13;13;122;108;13;13;40;13;122;68;544;613;354;286;217;13;395;367;0;13;27;40;81;95;122;149;231;245;286;313;408;367;449;395;367;340;408;367;286;340;81;122;217;190;299;272;340;354;299;299;204;177;163;108;163;136;231;217;190;217;81;68;95;68;204;149;204;258;204;286;68;54;95;68;177;136;217;136;95;190;27;68;81;81;177;190;326;272;136;149;122;108;95;68;163;190;286;326;54;122;13;54;136;81;258;217;245;367;149;190;68;108;149;40;231;122;122;54;81;95;68;68;245;136;313;258;108;163;81;95;81;81;286;231;299;340;108;95;68;68;163;95;367;367;204;313;149;149;122;108;204;108;272;258;163;231;81;122;95;81;286;204;272;299;81;122;68;108;190;136;258;286;272;272;40;68;122;81;204;177;258;245;177;272;81;81;190;136;258;245;258;245;122;217;81;40;177;163;231;217;286;272;95;163;81;95;217;245;299;286;286;286;95;81;190;149;204;217;326;381;136;217;149;95;231;204;231;
1907;1880;1512;1553;1648;1539;762;708;163;108;13;13;0;13;13;13;13;13;13;0;13;13;13;0;0;0;68;68;40;27;27;27;13;0;68;68;68;68;149;149;122;149;558;313;136;108;13;13;13;13;0;0;68;40;122;108;163;136;0;40;68;95;13;54;95;68;54;0;0;13;13;13;95;95;13;13;177;136;108;40;54;13;68;163;95;149;217;272;217;245;190;54;149;149;81;54;149;258;122;231;231;163;231;177;231;122;258;245;108;190;231;245;136;177;272;231;258;177;177;108;177;245;108;204;299;354;217;204;190;122;177;136;177;163;163;272;136;258;286;258;204;204;245;177;149;13;177;245;204;258;190;204;272;204;204;163;204;122;190;231;122;177;217;258;204;204;217;136;190;177;190;149;177;204;136;217;217;190;177;122;204;122;163;190;122;177;163;231;149;163;258;177;204;163;122;95;177;204;108;163;245;272;231;245;258;190;204;149;149;136;177;245;95;136;190;149;136;122;231;149;136;122;68;149;190;245;163;190;299;245;272;258;95;95;122;177;122;149;299;367;163;177;177;108;163;163;190;163;177;190;95;136;177;163;136;
1144;1117;735;776;1157;1130;694;653;286;231;13;13;13;13;0;0;0;0;0;0;0;13;0;0;0;0;0;0;27;0;0;0;0;0;27;40;177;177;258;231;217;0;68;163;299;231;13;13;13;27;27;54;54;27;108;108;95;108;245;272;313;313;231;231;190;217;190;204;190;149;245;231;217;299;163;190;136;190;136;81;272;231;190;231;163;177;136;136;163;149;286;286;190;217;81;163;122;177;204;136;245;245;245;217;108;95;108;136;217;190;217;286;217;258;190;190;217;136;286;163;231;245;95;190;136;163;136;122;299;272;217;204;95;136;81;136;217;204;272;313;190;217;204;258;68;95;326;286;231;272;217;204;81;95;108;54;272;231;177;231;136;177;68;68;204;136;313;245;190;217;95;149;95;108;204;217;258;286;245;204;95;81;122;108;272;258;190;272;204;231;108;95;190;136;258;231;204;258;95;163;136;108;258;245;326;245;231;217;136;217;136;177;258;245;299;245;245;149;108;95;136;95;217;258;177;272;204;217;190;149;313;231;231;204;136;231;163;204;204;204;231;177;258;231;177;163;163;177;81;122;217;231;272;272;204;
2043;2016;1648;1675;1989;1907;1062;994;354;272;13;13;0;0;13;13;0;13;0;0;13;13;13;13;0;13;0;13;40;13;13;13;0;0;27;40;122;95;245;204;177;40;585;531;245;258;40;13;13;0;0;0;27;13;13;13;68;81;122;122;81;81;122;95;245;245;258;299;217;177;177;190;245;231;190;136;313;313;149;108;149;163;81;108;122;163;326;354;299;245;163;149;122;149;163;122;190;286;204;245;136;81;122;68;217;122;204;204;136;217;95;177;122;122;286;258;286;245;190;190;95;122;81;40;272;272;299;286;149;177;136;217;149;95;272;286;272;299;68;108;122;122;558;354;272;149;313;354;122;190;149;108;340;231;245;231;217;231;68;149;190;136;286;299;217;231;149;177;122;122;286;204;217;313;163;217;149;163;163;122;272;204;190;204;136;204;108;149;231;190;286;258;217;204;136;217;108;177;245;190;286;326;354;286;177;136;190;163;258;258;190;217;177;204;149;95;149;54;299;204;204;177;149;245;136;217;217;245;299;272;299;245;136;136;122;136;163;177;313;326;217;217;204;177;204;204;204;163;217;272;163;177;217;190;190;
1117;1089;871;885;1062;980;504;476;190;136;13;13;13;13;13;13;13;13;13;13;0;13;13;13;13;13;13;13;0;13;13;13;68;54;40;54;40;54;27;68;190;272;149;149;27;95;13;0;13;13;0;0;13;13;81;68;163;190;204;163;136;190;68;81;149;108;177;122;95;54;95;177;136;177;204;177;136;190;149;122;122;163;163;177;231;217;122;245;190;108;149;136;190;163;258;217;81;122;149;81;204;177;245;245;231;258;54;95;122;136;177;190;231;190;299;313;95;40;204;204;272;272;286;326;177;299;190;68;272;204;381;354;299;286;108;204;190;136;340;231;326;258;1021;980;449;326;340;367;245;217;245;272;149;177;81;13;272;258;286;313;258;258;108;177;149;54;272;231;272;286;231;258;95;149;163;108;272;245;299;299;81;163;0;54;177;136;190;204;245;245;108;149;108;68;245;217;245;204;204;231;108;163;272;177;340;286;299;258;217;245;108;108;245;204;204;231;217;190;136;177;81;27;231;190;177;204;177;190;190;217;190;163;245;245;217;177;190;204;204;217;217;136;217;204;177;136;258;231;108;136;190;177;245;245;245;
