1663;1615;1412;1396;62;62;47;47;62;62;0;0;0;0;15;15;15;15;0;0;15;0;15;15;0;15;15;15;31;31;31;15;62;47;31;62;31;15;125;125;172;47;156;109;15;109;94;47;31;15;47;47;94;94;78;94;31;31;31;0;31;15;47;62;0;15;15;15;78;62;15;15;156;94;31;109;203;109;188;251;156;251;47;235;2729;2729;376;141;141;219;78;31;1004;768;690;815;564;690;423;282;360;313;235;313;345;329;219;298;345;313;360;282;203;203;219;172;172;203;251;345;282;298;203;188;298;266;251;156;156;188;203;266;203;203;203;251;313;251;251;188;172;156;156;141;141;188;219;235;251;203;172;156;219;156;188;172;203;266;188;266;156;172;188;203;251;188;141;94;188;219;203;188;141;219;219;203;235;141;172;156;203;188;94;125;109;188;172;188;156;125;203;141;172;94;109;125;188;235;172;172;203;219;203;125;172;109;109;141;141;141;156;203;188;219;235;203;109;47;188;109;94;94;109;188;109;172;172;141;235;203;203;141;125;94;31;109;172;188;172;188;235;203;141;125;94;78;172;156;94;156;125;203;141;141;141;
1851;1804;1568;1521;1364;1270;549;486;47;15;0;15;0;15;15;15;15;15;15;0;15;0;15;15;0;0;0;0;15;15;47;15;0;0;15;15;15;15;109;125;125;47;376;439;392;376;31;47;31;31;31;31;62;62;109;78;172;203;156;156;62;156;62;109;0;15;94;109;141;125;109;188;31;0;156;298;125;125;109;62;141;172;47;235;2714;2525;78;753;564;376;125;141;1066;815;721;596;439;611;345;298;313;313;360;392;392;439;156;203;266;235;313;282;313;360;298;298;172;188;251;282;360;266;329;345;298;313;235;203;156;235;298;266;282;298;172;219;219;172;125;156;282;266;203;219;156;156;172;156;203;156;251;266;203;235;141;172;172;203;345;251;282;282;141;188;125;109;94;141;282;298;219;266;109;141;203;172;203;172;313;313;203;266;47;62;156;156;188;109;219;172;172;156;94;109;141;172;266;251;203;219;125;125;188;125;125;156;203;219;156;188;125;156;156;125;188;141;188;251;125;141;141;141;172;188;235;156;156;156;141;125;109;109;94;109;188;251;109;172;78;62;156;125;156;125;219;203;78;78;78;78;156;141;266;172;203;
203;172;203;172;0;15;109;109;109;109;0;0;0;15;15;15;15;15;15;15;15;0;15;15;15;0;0;0;15;15;62;15;0;0;15;62;31;15;109;125;376;533;94;470;282;219;0;15;15;15;15;15;15;0;47;47;15;0;15;15;31;47;125;78;109;172;0;15;31;0;15;0;360;329;188;313;31;15;125;188;156;78;15;47;2714;2431;15;313;62;94;78;407;862;674;564;439;407;454;125;172;517;454;470;517;329;407;172;156;251;125;486;439;329;407;94;156;47;109;266;109;423;392;251;298;109;109;78;125;329;251;360;360;172;188;94;62;94;78;345;360;298;345;156;156;156;125;235;109;392;376;235;313;94;109;78;125;298;188;282;313;156;188;109;109;109;125;298;282;266;298;156;172;94;78;125;31;266;266;235;329;94;156;62;109;282;141;298;298;125;141;78;94;78;109;251;172;219;235;141;156;47;31;94;47;251;266;141;251;62;109;94;94;188;78;203;203;125;141;62;94;62;78;282;219;282;235;141;109;78;47;94;78;251;219;172;251;62;78;62;31;109;62;219;266;94;203;15;62;78;94;219;109;172;188;78;
1757;1725;1490;1490;1192;1113;454;407;62;31;15;15;15;15;15;0;0;15;15;15;15;15;15;15;15;15;15;15;0;0;15;0;15;15;78;62;15;15;94;109;156;94;109;125;31;78;31;0;15;15;0;15;62;31;15;0;0;31;0;15;15;0;31;15;0;0;62;31;251;203;47;15;31;31;15;31;156;125;298;298;141;188;31;15;2510;2604;141;282;627;643;31;78;674;611;721;674;549;517;298;329;392;360;172;203;360;376;423;329;203;219;313;313;141;156;203;219;251;282;219;188;235;282;203;188;219;219;235;313;235;203;203;219;219;156;235;172;172;219;251;266;94;141;172;156;266;203;219;188;172;203;109;156;156;188;251;235;219;188;141;156;125;94;156;172;219;266;188;172;188;172;172;109;188;141;188;203;203;219;219;235;141;156;235;203;156;156;156;172;47;125;109;125;219;266;172;172;141;172;94;47;188;94;188;235;203;188;141;156;141;109;251;172;219;266;219;235;94;125;109;125;266;235;203;203;156;172;62;78;156;156;266;282;219;203;78;125;78;62;172;141;156;188;172;141;78;156;156;78;235;219;188;203;188;219;78;
549;549;454;454;674;658;345;329;125;94;0;15;0;0;15;15;15;15;0;0;15;0;15;15;15;15;0;15;15;15;78;141;31;31;15;15;15;15;533;517;15;109;454;517;188;125;15;31;15;62;0;0;15;15;141;141;203;172;156;141;31;94;109;94;251;282;360;392;454;423;203;266;219;109;251;125;282;266;313;376;94;235;15;141;1412;1694;188;988;706;360;392;1506;251;15;643;627;376;313;313;329;172;172;282;282;251;313;439;439;188;251;251;156;266;203;203;156;282;360;62;109;203;156;219;203;345;251;203;282;78;78;203;235;282;251;282;282;125;172;125;78;172;141;235;219;251;313;94;156;235;203;203;188;266;251;219;266;125;141;172;172;203;203;282;235;172;219;125;94;172;235;251;251;282;219;141;156;188;109;203;188;172;203;219;251;141;172;172;109;219;203;219;203;251;313;156;188;219;188;141;125;235;156;141;172;141;125;235;235;172;172;251;203;172;172;203;172;172;235;172;172;203;251;109;125;172;156;125;156;172;156;172;219;141;109;251;235;109;78;251;203;141;219;141;125;141;188;219;172;251;203;125;141;219;172;141;
1914;1882;1615;1584;1490;1396;674;611;156;125;15;0;15;15;15;15;15;15;15;0;15;0;15;15;15;15;78;62;15;15;78;47;15;15;0;62;15;15;47;78;313;313;658;392;235;235;15;15;15;0;15;0;0;0;15;15;0;31;78;62;78;78;94;62;203;141;219;251;172;188;172;219;188;313;203;156;392;392;188;188;313;360;94;156;392;706;1066;988;784;564;407;753;345;15;909;941;0;15;313;251;172;235;203;78;125;172;188;188;282;329;125;219;172;78;219;156;313;203;329;360;78;188;235;266;172;188;376;282;282;329;78;47;188;235;203;188;329;345;203;282;203;156;141;109;266;219;266;329;125;141;188;156;156;141;282;235;219;282;125;78;172;172;188;141;251;203;188;235;141;141;141;141;203;188;266;282;78;109;141;94;125;109;251;219;219;266;62;62;203;203;188;156;235;235;172;219;125;94;172;156;219;219;235;235;94;188;125;125;172;219;235;219;282;266;141;125;203;109;141;172;203;172;156;219;78;78;219;172;156;141;172;156;141;203;156;109;251;282;172;125;219;188;94;125;203;156;156;251;156;172;219;172;156;125;235;
862;831;549;533;454;423;156;141;31;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;62;47;15;15;0;0;15;31;15;15;78;31;0;15;15;47;470;392;0;203;219;188;15;15;31;47;15;31;15;15;31;0;94;109;203;172;62;125;31;47;125;109;219;188;266;251;282;298;15;15;94;0;203;423;188;188;439;360;203;313;502;1004;1710;1694;423;282;2008;1223;345;486;345;266;0;31;141;109;109;188;62;78;156;141;141;125;282;235;125;188;141;94;203;266;188;188;376;329;141;172;235;172;188;203;235;251;313;360;156;125;298;219;203;203;188;188;141;282;141;156;203;235;125;109;329;235;141;188;188;172;109;219;125;156;329;251;203;156;188;156;62;109;94;94;282;329;125;156;172;172;94;47;203;125;156;282;109;156;141;188;125;94;329;203;156;172;172;141;78;172;141;156;329;282;141;125;156;109;78;78;156;156;172;266;141;156;172;172;109;31;219;156;94;203;125;141;141;203;203;156;298;235;141;125;172;125;62;141;156;188;266;282;156;109;188;156;109;62;203;172;172;282;109;125;203;188;188;94;251;203;78;141;172;
957;925;847;815;533;502;141;125;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;62;47;15;15;15;0;31;47;31;0;0;47;0;15;109;109;203;203;219;313;392;282;0;15;15;0;0;15;0;15;15;0;31;47;0;15;172;125;109;109;15;94;282;219;313;423;439;392;172;298;251;125;470;313;470;360;62;94;753;1160;1615;2918;5004;2839;1537;894;1098;925;549;376;454;486;203;156;219;329;94;141;125;0;188;0;392;345;188;345;15;94;188;172;423;251;470;439;188;235;62;94;78;141;345;345;329;345;203;156;109;0;141;62;345;329;235;439;125;188;172;94;298;109;298;251;141;219;15;78;47;141;329;266;376;313;125;109;62;47;109;109;251;298;266;345;109;109;78;15;125;0;282;298;172;345;31;109;47;47;235;62;282;235;47;156;0;15;62;109;251;172;329;313;125;94;15;15;94;141;266;282;235;298;62;31;125;15;141;62;251;235;94;251;15;62;125;109;219;109;282;266;62;62;47;62;94;94;266;266;235;251;31;31;78;31;62;94;251;251;141;251;125;125;78;15;172;62;235;251;47;188;0;62;94;
1694;1647;1302;1255;909;878;580;533;235;203;31;31;0;0;0;0;15;0;0;0;15;0;15;0;15;15;15;0;15;15;0;15;15;15;47;0;109;94;298;345;0;125;47;15;470;454;31;0;125;78;172;203;329;376;47;47;62;78;141;94;517;392;486;611;298;282;15;31;62;31;125;125;329;329;360;266;78;31;15;47;235;78;549;1223;3781;2510;2400;3279;219;31;15;78;219;15;800;721;188;156;15;94;172;172;345;392;141;109;125;47;203;156;298;298;376;423;203;376;203;203;345;266;423;329;313;313;109;188;78;109;282;282;392;470;219;282;188;109;235;156;313;188;313;329;172;266;109;141;141;172;313;219;235;219;172;156;62;94;78;94;235;251;203;203;141;172;125;94;203;109;156;219;94;188;62;141;62;78;235;109;109;94;125;141;31;78;62;94;266;329;251;235;172;109;15;47;125;15;62;109;172;251;78;156;15;0;141;94;219;156;172;172;15;15;15;15;172;156;203;172;156;172;15;15;78;15;172;172;203;219;31;125;0;0;172;94;172;141;156;172;62;125;0;15;188;125;172;219;141;156;0;47;94;47;235;188;172;
1804;1788;1506;1490;1208;1145;470;423;31;0;15;15;15;15;15;15;15;15;15;15;0;15;15;15;15;15;15;15;125;125;15;0;15;15;0;31;109;94;0;31;47;15;94;203;62;47;0;15;15;15;15;15;15;0;15;15;47;47;47;47;31;15;156;141;141;156;188;156;94;47;360;549;235;266;282;329;94;141;109;156;360;360;1019;470;9334;8393;831;219;1537;1710;1459;753;1380;1208;768;721;31;62;78;62;172;156;172;235;141;109;282;298;251;235;188;172;282;219;282;251;203;251;156;203;235;219;282;235;282;313;188;203;125;156;235;266;172;203;266;251;203;156;188;156;266;282;298;329;235;266;156;109;203;156;203;172;235;251;188;203;141;141;219;188;298;235;251;251;125;172;188;141;188;141;235;203;251;298;156;188;188;172;109;125;235;203;251;266;125;141;141;125;203;156;219;219;78;141;109;109;203;156;235;203;203;188;156;156;172;156;156;172;266;235;188;251;62;78;141;109;203;141;156;235;109;156;109;109;156;156;219;251;203;219;172;156;125;94;219;188;251;251;203;235;78;109;125;125;266;203;251;219;188;235;109;78;109;109;203;
