1486;1463;1262;1238;1368;1286;672;625;165;129;0;11;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;11;58;47;23;11;0;0;0;11;23;58;70;82;247;247;141;106;153;129;23;35;23;0;23;23;0;11;47;23;47;11;106;70;47;82;70;106;35;23;47;70;35;0;153;117;117;141;47;0;58;82;11;0;342;306;306;401;94;212;0;70;271;471;873;943;554;707;719;519;11;70;648;530;601;601;519;436;283;283;58;106;766;448;1415;1663;601;790;318;58;1061;755;613;601;224;283;23;94;70;82;271;176;259;235;129;200;47;70;106;82;141;106;259;271;82;141;0;0;70;35;259;212;247;318;58;94;0;58;129;70;247;247;70;176;23;23;35;11;224;165;247;224;141;176;23;58;94;47;200;165;165;165;58;58;0;11;129;129;247;200;129;165;0;58;35;0;176;106;153;106;70;129;58;0;58;23;176;153;200;176;70;106;47;47;82;58;117;82;165;141;82;117;58;70;82;94;176;165;176;200;106;165;23;0;47;35;141;82;82;153;0;47;0;0;23;23;188;141;70;82;11;11;0;0;165;129;259;235;58;
294;294;259;247;365;330;165;153;35;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;11;0;0;35;35;35;23;11;11;0;0;129;153;224;94;589;365;460;377;35;23;23;0;23;0;47;35;47;35;94;70;247;224;141;153;94;117;117;35;165;58;165;165;129;165;35;141;106;117;188;153;117;106;247;165;11;35;176;153;47;0;283;389;979;991;696;896;519;389;165;212;542;613;507;519;412;424;365;377;153;153;389;436;1014;1250;979;873;460;247;790;613;436;318;11;58;58;82;47;35;212;224;117;117;23;23;165;165;259;259;106;141;176;224;58;11;117;82;165;129;153;153;117;188;94;58;82;106;129;94;129;117;35;47;23;35;70;58;129;141;129;94;23;0;94;94;82;129;176;188;117;117;106;11;94;58;117;94;129;141;0;58;70;35;70;82;165;129;82;82;58;35;11;47;117;94;259;224;94;70;47;35;117;117;129;117;94;129;106;117;94;70;141;129;141;117;94;117;35;82;106;94;82;58;82;58;94;82;11;58;58;70;106;94;165;141;129;94;23;23;82;82;117;82;153;165;165;165;11;
1805;1769;1510;1498;1970;1864;1168;1097;483;401;117;117;94;94;106;94;106;106;82;94;82;106;82;82;94;82;82;70;106;129;58;58;82;82;82;82;35;0;530;613;743;932;0;176;507;377;82;70;82;94;70;82;70;47;129;141;330;342;589;554;519;542;495;566;519;519;519;519;648;601;648;672;578;554;530;542;377;436;554;519;424;401;401;365;294;330;153;141;47;129;849;814;330;554;448;330;412;412;1415;1356;412;542;837;825;873;778;1427;1132;589;613;1061;1014;318;353;424;412;401;377;129;94;106;94;235;212;23;11;141;200;11;35;117;176;224;212;188;129;141;153;224;188;35;47;235;224;200;212;188;212;200;212;129;106;117;106;200;165;165;235;94;94;117;82;377;318;235;188;188;188;141;153;188;176;188;200;283;283;165;141;141;82;129;129;141;129;165;212;212;294;235;200;200;176;259;247;82;117;106;117;165;188;176;153;224;200;106;94;58;82;165;247;188;200;235;224;129;129;224;176;294;259;212;212;188;224;129;106;200;176;141;129;165;141;259;318;188;212;247;224;235;176;188;153;153;165;117;82;188;247;235;247;224;224;129;129;188;
908;884;318;318;1380;1368;932;896;401;330;35;35;23;11;23;23;35;23;23;11;11;23;11;11;23;11;11;0;11;11;11;23;11;11;35;129;23;0;11;11;94;188;259;235;401;271;11;23;0;0;58;58;94;106;224;212;271;294;294;294;306;235;401;330;436;412;365;460;188;188;129;106;365;259;589;613;460;542;188;342;247;188;483;401;365;330;542;672;2194;1994;1392;1533;1510;814;979;837;212;94;283;212;200;235;117;0;365;412;35;82;47;47;70;70;318;235;294;342;58;106;58;47;200;153;389;330;247;283;141;176;35;11;224;94;306;271;106;188;0;47;0;11;271;176;330;330;94;129;0;23;47;11;271;200;259;294;82;94;70;35;82;58;330;283;176;259;35;47;0;23;141;82;306;342;94;153;0;35;82;23;247;141;247;318;82;129;23;23;94;70;353;306;224;283;70;94;11;47;82;58;283;271;188;224;82;94;35;23;224;176;283;318;47;94;58;11;70;47;247;200;330;389;94;141;82;70;129;82;294;235;165;224;23;82;70;82;165;94;306;294;129;188;58;82;47;47;224;176;259;294;141;153;94;106;70;82;153;
1675;1640;1345;1333;1628;1533;814;755;200;153;0;0;11;11;0;0;0;11;11;11;11;0;23;23;11;23;23;35;0;0;47;47;23;23;23;23;117;129;165;153;200;153;82;129;47;82;47;58;70;58;82;82;106;117;129;153;224;165;176;176;176;153;117;70;11;0;23;47;70;23;58;35;129;82;58;58;11;35;0;23;47;82;235;294;224;176;47;82;247;200;1097;920;401;672;129;389;460;424;330;294;401;377;259;283;306;377;224;200;224;200;342;283;200;188;153;188;176;153;165;188;247;283;224;188;141;129;188;188;200;188;188;224;200;200;153;129;165;165;212;153;153;165;129;176;176;141;176;176;212;224;129;106;94;94;176;165;153;176;153;200;165;129;117;141;165;141;141;153;141;153;141;141;141;129;153;165;165;165;106;58;70;106;141;129;117;153;117;176;117;70;129;129;188;153;176;188;141;153;129;117;129;129;176;165;153;141;129;165;141;165;117;129;200;188;200;165;153;153;117;106;129;117;129;165;165;200;141;117;82;82;129;141;153;153;106;141;188;200;129;117;117;94;106;94;235;259;153;153;153;212;141;129;176;165;235;
991;955;660;660;1168;1120;672;648;235;188;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;23;0;23;0;0;0;0;47;94;0;11;129;106;47;117;141;70;70;70;11;23;23;23;23;23;35;35;47;47;47;58;106;117;58;82;117;141;58;94;200;129;165;117;165;165;117;117;35;129;117;94;94;94;200;176;200;153;106;58;58;82;141;153;1156;908;330;483;283;519;507;471;283;259;330;353;212;259;271;247;200;200;212;176;224;224;129;141;200;176;200;200;235;200;224;176;165;165;176;212;165;200;224;224;176;176;165;117;176;200;117;153;188;212;165;176;188;165;129;153;212;141;188;224;117;129;153;153;129;117;200;176;176;165;94;82;153;153;153;129;176;188;141;141;117;82;129;165;176;153;188;235;165;153;153;153;153;129;200;165;141;176;129;129;165;153;176;153;212;165;129;153;117;106;153;141;176;141;165;176;117;129;129;129;94;117;188;165;176;200;176;153;165;141;129;153;165;165;153;176;106;129;153;129;165;165;212;176;141;165;129;117;176;176;129;141;165;141;165;153;153;94;224;259;117;117;153;176;165;
1781;1746;1439;1404;1852;1758;967;908;283;224;11;11;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;11;35;35;23;23;11;0;11;11;106;106;94;70;153;247;106;212;58;35;23;0;35;11;35;47;35;47;11;23;11;11;0;11;11;23;82;47;188;188;283;224;188;200;129;82;35;23;58;82;495;519;283;401;365;330;153;58;224;188;306;283;35;235;318;519;507;1061;176;23;731;483;94;35;153;70;70;58;283;224;271;330;94;35;47;82;58;58;294;247;176;306;106;129;188;188;141;94;306;271;129;235;153;176;117;47;212;106;271;283;58;117;35;106;106;117;294;200;235;306;188;141;35;82;94;106;283;224;200;247;129;141;47;35;165;106;259;271;153;212;94;117;117;82;224;141;247;235;106;141;23;82;82;47;224;188;200;235;94;117;23;47;153;129;259;235;188;247;94;94;23;0;129;117;188;212;153;188;141;141;106;70;212;153;224;235;153;153;58;106;106;82;259;200;165;200;106;106;35;58;94;117;235;212;153;188;165;153;47;35;117;129;259;271;117;129;70;106;94;117;176;117;306;330;117;176;47;106;94;
837;825;637;625;1404;1368;861;825;353;294;23;35;11;11;23;23;23;23;11;11;11;11;11;0;11;0;0;0;0;0;11;11;106;94;129;165;23;23;165;117;58;58;224;224;424;353;23;23;0;0;0;11;35;58;153;141;188;212;259;247;224;224;259;200;306;294;306;318;224;235;200;235;259;200;235;224;306;330;224;377;294;342;283;235;365;306;176;117;283;589;507;271;1368;2135;1120;601;424;235;247;259;141;200;141;153;23;70;94;153;47;47;141;117;106;82;188;165;153;235;106;153;200;200;188;141;212;141;176;212;129;153;141;176;176;188;212;188;165;153;141;129;117;129;176;176;176;224;165;176;165;153;106;82;165;141;153;188;94;141;129;141;176;106;224;188;200;200;106;117;94;141;188;188;235;212;176;165;129;117;117;129;165;165;247;247;188;188;106;106;117;82;235;200;224;271;94;141;153;141;153;94;212;165;188;259;117;117;153;200;188;200;259;235;106;117;129;106;129;165;247;224;200;259;224;224;188;117;141;94;200;224;165;235;129;117;176;165;212;141;259;259;94;165;117;94;141;165;176;141;306;283;141;153;129;94;129;
1675;1651;1415;1392;1793;1392;802;755;259;200;11;11;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;11;0;47;23;35;0;0;35;94;47;82;35;11;82;11;306;235;306;283;35;35;11;23;11;0;11;35;11;35;35;0;82;70;94;141;70;129;58;94;47;47;224;165;283;294;224;294;70;165;188;94;342;235;412;294;342;306;35;35;141;117;507;802;1828;1451;342;542;2536;1876;401;342;35;58;153;165;58;47;0;11;82;11;247;176;271;353;0;82;35;11;235;117;271;200;259;342;0;23;47;11;235;235;318;306;153;200;58;58;106;11;235;271;283;342;153;188;58;35;165;94;259;235;259;306;47;129;47;70;259;141;294;247;212;235;47;70;70;47;247;235;235;224;141;153;70;82;129;94;212;235;259;294;165;176;82;70;200;129;224;212;117;188;94;129;117;106;224;176;188;165;165;188;70;58;82;58;283;259;235;176;188;200;58;70;129;82;235;224;247;271;235;247;94;70;153;106;212;224;176;224;58;129;70;82;117;106;200;176;188;224;82;153;106;106;235;224;294;247;188;235;35;47;165;117;176;200;235;224;165;
1935;1876;1510;1486;2029;1946;1085;1014;330;247;11;11;0;0;0;0;0;0;0;0;0;0;11;0;0;11;11;23;11;0;35;35;11;11;0;0;106;106;47;23;0;212;23;47;47;47;11;23;11;0;35;23;35;47;47;47;35;0;94;82;47;11;82;58;35;23;47;11;94;58;70;82;94;153;82;106;94;70;117;165;247;235;235;283;129;129;424;129;790;129;991;1014;2029;1828;1710;1899;353;259;176;141;35;47;58;117;58;58;129;129;35;11;153;188;82;82;165;70;200;224;117;70;235;294;153;176;165;117;200;235;200;129;165;188;129;153;188;188;141;176;247;200;212;200;129;141;117;129;129;141;212;235;176;153;153;94;106;94;129;106;200;235;153;200;176;165;165;141;224;129;165;188;129;165;106;129;106;106;200;165;200;165;117;106;94;141;106;117;188;212;200;176;129;106;117;70;82;106;141;176;141;176;117;106;153;106;165;106;200;224;117;176;70;70;106;94;200;141;200;188;106;141;58;70;117;129;200;224;153;176;106;117;70;70;141;82;129;153;106;165;129;117;141;94;176;141;165;188;58;117;94;70;200;165;259;212;141;
